kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;seq;1;1024;;0.002;0.003;0.00285;4230405;2821277;743424;17946;400122;26614
dot;neon;1;1024;;0.003;0.004;0.0038;4216634;2828410;744748;17871;401165;26739
dot;omp;1;1024;;0.006;0.007;0.00675;2568124;1135229;425907;13177;125746;21286
dot;hybrid;1;1024;;0.009;0.010;0.00965;2588813;1139890;427574;13314;126044;21387
dot;omp;2;1024;;0.004;0.006;0.00495;3222942;1614386;523277;15652;201690;23760
dot;hybrid;2;1024;;0.007;0.008;0.0071;3196600;1594037;516600;15588;198615;23635
dot;omp;3;1024;;0.004;0.005;0.00495;3865024;2280541;650466;17509;309784;26230
dot;hybrid;3;1024;;0.006;0.008;0.0072;3829203;2209718;640934;17847;297115;26345
dot;omp;4;1024;;0.004;0.005;0.0045;4483176;2977867;782160;19234;422926;28488
dot;hybrid;4;1024;;0.007;0.007;0.007;4659514;3227153;825228;19357;463972;28582
dot;seq;1;4096;;0.008;0.009;0.0081;5068976;3726588;932098;18432;544933;26901
dot;neon;1;4096;;0.010;0.011;0.01095;5123513;3781698;942193;18477;553779;27076
dot;omp;1;4096;;0.012;0.014;0.0126;2953204;1332885;496535;13739;152278;21336
dot;hybrid;1;4096;;0.016;0.018;0.0173;2973179;1342322;499571;13837;153196;21418
dot;omp;2;4096;;0.008;0.009;0.0081;3741436;2034825;630688;16242;265751;24008
dot;hybrid;2;4096;;0.011;0.031;0.0125;3762557;2044778;631963;16387;266877;24031
dot;omp;3;4096;;0.007;0.008;0.00705;4533852;2948619;800912;18076;414773;26236
dot;hybrid;3;4096;;0.009;0.011;0.01025;4506808;2908376;792945;18134;407671;26343
dot;omp;4;4096;;0.006;0.007;0.0063;5360484;3869198;970643;19956;565137;29103
dot;hybrid;4;4096;;0.008;0.150;0.0166;5351787;3909545;975910;19941;571945;28879
dot;seq;1;16384;;0.029;0.052;0.03105;8684895;7606742;1740452;20263;1165946;28176
dot;neon;1;16384;;0.038;0.040;0.03905;8667124;7565730;1731563;20220;1158478;28040
dot;omp;1;16384;;0.033;0.036;0.03425;4437522;2158789;793257;15298;264930;22140
dot;hybrid;1;16384;;0.045;0.048;0.046;4488083;2173148;795404;15134;265359;22149
dot;omp;2;16384;;0.018;0.039;0.02035;5900766;3847436;1090426;17599;542501;24664
