kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;omp;3;4194304;;6.352;6.675;6.47165;530994494;292048116;103478482;454265;39845437;179892
dot;hybrid;3;4194304;;6.499;6.914;6.69195;531706631;293866794;102737221;458452;39798408;179008
dot;omp;4;4194304;;5.371;5.582;5.426;540376129;297920039;103793429;465403;40830261;184033
dot;hybrid;4;4194304;;5.442;5.757;5.5225;540650057;299601964;103727145;466069;40760056;184633
dot;seq;1;16777216;;58.665;61.685;60.0685;2072968895;1136339349;405253094;1689771;154332320;613936
dot;neon;1;16777216;;64.944;70.336;68.061;2082394222;1139712172;405104742;1697934;154199996;614631
dot;omp;1;16777216;;58.482;60.827;59.1376;2048120678;1125378818;403299224;1432810;152363346;624370
dot;hybrid;1;16777216;;65.320;66.189;65.865;2057699567;1133764974;403298062;1450858;152364508;624658
dot;omp;2;16777216;;32.387;35.556;33.067;2065005670;1131006136;404206184;1553053;153343104;628931
dot;hybrid;2;16777216;;35.117;38.715;35.7833;2072460374;1139219325;404175712;1565603;153308116;629887
dot;omp;3;16777216;;25.011;26.590;25.5681;2086775613;1137651547;408133245;1630313;154380102;636790
dot;hybrid;3;16777216;;25.962;27.194;26.6602;2090546492;1146619660;405438528;1641249;154478775;637636
dot;omp;4;16777216;;20.773;21.892;21.5201;2111440582;1144361026;406520136;1677186;155541654;643956
dot;hybrid;4;16777216;;21.188;22.495;21.933;2113802058;1153748800;406687361;1692784;155702354;643661
triad;seq;1;1024;;0.003;0.004;0.003975;3978834;2512498;680744;17697;348290;26711
triad;neon;1;1024;;0.003;0.004;0.00395;4013186;2556915;688748;17756;355684;26791
triad;omp;1;1024;;0.007;0.008;0.00735;2529490;1103340;409120;13224;119721;21295
triad;hybrid;1;1024;;0.007;0.008;0.007625;2542866;1103275;408997;13390;119646;21285
triad;omp;2;1024;;0.005;0.005;0.005;3141917;1567305;501563;15529;193808;23523
triad;hybrid;2;1024;;0.005;0.010;0.00515;3100070;1497157;489662;15462;182096;23548
triad;omp;3;1024;;0.005;0.006;0.00505;3655831;2070878;604972;17306;274442;26034
triad;hybrid;3;1024;;0.004;0.006;0.005;3682506;2065327;604599;17613;272933;26231
triad;omp;4;1024;;0.004;0.005;0.004575;4373244;2867722;753422;19079;404171;28351
triad;hybrid;4;1024;;0.004;0.005;0.004675;4300770;2773399;735527;19070;388665;28458
triad;seq;1;4096;;0.023;0.027;0.02395;4396539;2822478;739359;18574;393035;27189
triad;neon;1;4096;;0.023;0.026;0.02405;4373526;2794820;732143;18424;388526;27143
triad;omp;1;4096;;0.026;0.028;0.026675;2778791;1203881;430746;13851;129821;21403
triad;hybrid;1;4096;;0.026;0.028;0.026475;2792267;1210935;432341;13912;130409;21499
triad;omp;2;4096;;0.014;0.016;0.0146;3364747;1615983;514846;16192;195304;23886
triad;hybrid;2;4096;;0.013;0.028;0.0165;3422368;1679247;527006;16162;204950;24011
triad;omp;3;4096;;0.012;0.039;0.016475;3932505;2226425;635204;17703;294176;26210
triad;hybrid;3;4096;;0.012;0.040;0.013525;3991772;2288357;645135;17872;303519;26351
triad;omp;4;4096;;0.010;0.115;0.01405;4657259;2996560;778535;19780;419079;28936
triad;hybrid;4;4096;;0.010;0.024;0.011575;4609539;2940352;768293;19598;409560;28816
triad;seq;1;16384;;0.099;0.111;0.101725;5802643;3778652;921682;20612;524331;28311
triad;neon;1;16384;;0.098;0.137;0.102625;5762889;3763995;916203;20565;521764;28193
triad;omp;1;16384;;0.106;0.114;0.1086;3786097;1628836;524963;15671;172914;22262
triad;hybrid;1;16384;;0.103;0.141;0.107275;3810965;1640091;525886;15808;173072;22358
triad;omp;2;16384;;0.052;0.112;0.0602;4450602;2106176;619869;18200;248730;24850
triad;hybrid;2;16384;;0.054;0.072;0.061775;4468945;2116003;622346;18461;248838;25062
triad;omp;3;16384;;0.039;0.063;0.045425;4991690;2675346;736958;19867;340725;27161
triad;hybrid;3;16384;;0.040;0.105;0.0505;5075506;2733412;741115;20311;348508;27507
triad;omp;4;16384;;0.034;0.054;0.0435;5826332;3532510;893993;22348;479609;30337
triad;hybrid;4;16384;;0.033;0.078;0.043125;5751369;3505535;884386;22008;474716;29994
triad;seq;1;65536;;0.465;0.512;0.477625;12764449;9514225;1981032;28440;1366236;32708
triad;neon;1;65536;;0.460;0.639;0.483475;12789405;9608963;1992498;28162;1379440;32644
triad;omp;1;65536;;0.487;0.593;0.5006;7965233;3366096;914209;22254;348592;26347
triad;hybrid;1;65536;;0.489;0.576;0.5078;7975718;3399270;914143;22628;348247;26298
