kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;seq;1;1024;;0.002;0.003;0.00235;4279342;2888038;756143;17962;410977;26895
dot;neon;1;1024;;0.003;0.004;0.00375;4196093;2781798;736684;17811;393366;26764
dot;omp;1;1024;;0.006;0.007;0.00675;2525405;1123638;421773;13194;124104;21112
dot;hybrid;1;1024;;0.009;0.011;0.0097;2577850;1135778;425849;13307;125566;21331
dot;omp;2;1024;;0.004;0.005;0.0045;3195979;1589499;517504;15640;197553;23700
dot;hybrid;2;1024;;0.007;0.008;0.00745;3202228;1611093;520467;15671;201281;23643
dot;omp;3;1024;;0.004;0.005;0.00485;3787178;2190439;635858;17580;294563;26207
dot;hybrid;3;1024;;0.007;0.008;0.00735;3829903;2249517;647007;17695;303901;26217
dot;omp;4;1024;;0.004;0.005;0.00465;4490098;3016112;787639;19053;429376;28379
dot;hybrid;4;1024;;0.007;0.082;0.01075;4684073;3292488;836077;19332;475089;28507
dot;seq;1;4096;;0.008;0.009;0.00815;5065028;3697341;929393;18570;539713;27116
dot;neon;1;4096;;0.010;0.011;0.0109;5147632;3803450;949380;18668;557025;27239
dot;omp;1;4096;;0.012;0.013;0.01235;2942064;1332609;496280;13819;152261;21303
dot;hybrid;1;4096;;0.017;0.018;0.01725;2954977;1340727;498770;13889;153058;21493
dot;omp;2;4096;;0.008;0.008;0.008;3769206;2059578;636946;16357;269431;24121
dot;hybrid;2;4096;;0.010;0.012;0.0114;3751418;2063356;635519;16324;270348;24020
dot;omp;3;4096;;0.006;0.007;0.00695;4478466;2868371;786728;18250;401534;26351
dot;hybrid;3;4096;;0.010;0.011;0.0103;4488856;2866128;787198;18243;400335;26463
dot;omp;4;4096;;0.006;0.007;0.0064;5347850;3895480;973764;19843;569710;28966
dot;hybrid;4;4096;;0.008;0.010;0.0095;5373060;3910952;977749;20132;571886;29096
dot;seq;1;16384;;0.029;0.032;0.0298;8600120;7483519;1719878;20345;1145331;28196
dot;neon;1;16384;;0.038;0.041;0.0392;8613408;7517559;1723728;20286;1150659;28087
dot;omp;1;16384;;0.033;0.035;0.03425;4460256;2157868;792611;15207;264594;22089
dot;hybrid;1;16384;;0.045;0.080;0.04765;4485756;2171736;794771;15380;265123;22229
dot;omp;2;16384;;0.019;0.023;0.02;5930211;3853791;1092364;17943;543398;24768
dot;hybrid;2;16384;;0.025;0.075;0.02875;5934751;3879786;1094144;17856;546435;24642
dot;omp;3;16384;;0.014;0.037;0.0168;7239271;5539647;1392455;19715;821216;27124
