kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;seq;1;1024;;0.005;0.005;0.005;4209148;2828605;744349;17738;401317;26695
dot;neon;1;1024;;0.003;0.004;0.003775;4172504;2770096;734133;17802;391699;26671
dot;omp;1;1024;;0.008;0.009;0.008925;2565362;1136130;425193;13144;125314;21258
dot;hybrid;1;1024;;0.009;0.011;0.00965;2563341;1132718;424591;13238;125117;21258
dot;omp;2;1024;;0.005;0.006;0.00595;3193065;1600429;519144;15663;199317;23796
dot;hybrid;2;1024;;0.006;0.008;0.00705;3208218;1616185;522325;15683;202105;23739
dot;omp;3;1024;;0.005;0.006;0.0056;3901346;2362078;666070;17694;322385;26197
dot;hybrid;3;1024;;0.006;0.008;0.007275;3847458;2298805;654733;17593;312253;26107
dot;omp;4;1024;;0.005;0.006;0.005075;4491633;3008618;786192;19100;427672;28473
dot;hybrid;4;1024;;0.006;0.008;0.007;4606175;3148450;812576;19473;450651;28697
dot;seq;1;4096;;0.017;0.018;0.017175;5129640;3803051;947275;18546;557435;27098
dot;neon;1;4096;;0.010;0.012;0.01085;5108568;3746326;938359;18583;547559;27200
dot;omp;1;4096;;0.021;0.022;0.021725;2946784;1354466;501894;13775;153954;21550
dot;hybrid;1;4096;;0.016;0.018;0.017125;2958509;1340088;498244;13948;152933;21407
dot;omp;2;4096;;0.012;0.014;0.012675;3752755;2050372;634427;16380;266329;24037
dot;hybrid;2;4096;;0.011;0.012;0.01125;3779071;2098177;640875;16218;275706;23921
dot;omp;3;4096;;0.010;0.010;0.01;4517819;2921576;797539;18231;408151;26416
dot;hybrid;3;4096;;0.009;0.011;0.010075;4514161;2937897;798293;18237;412649;26365
dot;omp;4;4096;;0.008;0.009;0.008725;5371245;3943115;982220;19824;575788;28915
dot;hybrid;4;4096;;0.008;0.011;0.00935;5396184;3943696;983829;20215;577091;29081
dot;seq;1;16384;;0.065;0.068;0.06605;8791029;7797905;1774746;20335;1198099;28127
dot;neon;1;16384;;0.038;0.041;0.03905;8641446;7567736;1731036;20327;1159135;27985
dot;omp;1;16384;;0.069;0.072;0.07035;4492178;2232282;809443;15096;269100;22210
dot;hybrid;1;16384;;0.044;0.047;0.04565;4467315;2165874;792355;15310;264456;22078
dot;omp;2;16384;;0.036;0.039;0.037375;5952452;3913707;1105383;17791;545446;24674
dot;hybrid;2;16384;;0.025;0.028;0.026025;5925889;3838789;1088463;17955;539465;24801
dot;omp;3;16384;;0.026;0.165;0.031375;7298462;5661431;1414197;19531;833744;27151
dot;hybrid;3;16384;;0.019;0.022;0.020325;7314070;5601676;1401384;20053;829851;27521
dot;omp;4;16384;;0.020;0.023;0.02145;8828552;7593499;1754734;21953;1152070;30163
dot;hybrid;4;16384;;0.016;0.019;0.017175;8839218;7619885;1753131;22022;1163559;30045
dot;seq;1;65536;;0.261;0.402;0.270775;15662977;12152445;3152856;26067;1820498;31699
dot;neon;1;65536;;0.149;0.270;0.1576;15566366;11973194;3103184;25955;1788329;31714
dot;omp;1;65536;;0.266;0.536;0.2781;10697214;5759719;2044321;20509;730418;25123
dot;hybrid;1;65536;;0.160;0.349;0.170575;10557843;5497838;1978454;20283;713591;25031
dot;omp;2;65536;;0.154;0.170;0.1617;12971039;8514824;2522352;23934;1184897;28104
dot;hybrid;2;65536;;0.101;0.161;0.11005;12822533;8251898;2457644;23808;1167772;28177
dot;omp;3;65536;;0.114;0.185;0.121075;15249103;11519717;3045338;26308;1680490;31659
dot;hybrid;3;65536;;0.079;0.196;0.089125;15099873;11285477;2985194;25929;1668926;31601
dot;omp;4;65536;;0.091;0.150;0.099975;17505876;14558484;3568149;28496;2184358;34278
dot;hybrid;4;65536;;0.072;0.121;0.078175;17387331;14266275;3499647;28728;2162662;34454
dot;seq;1;262144;;1.335;1.517;1.36682;40865980;26289448;8074668;47414;3773595;38631
dot;neon;1;262144;;0.941;1.083;0.976375;40368834;25269605;7829946;46960;3592686;38995
dot;omp;1;262144;;1.367;1.568;1.41612;35491741;19724041;6930308;39461;2558369;31850
dot;hybrid;1;262144;;0.979;1.167;1.01733;35156467;18738846;6688642;41342;2497809;32024
dot;omp;2;262144;;0.733;0.812;0.75955;38949485;23777415;7639379;45442;3220479;35422
dot;hybrid;2;262144;;0.554;0.668;0.584575;38269319;22575361;7346589;45112;3133285;35096
dot;omp;3;262144;;0.534;0.679;0.556275;42005761;27818352;8332816;47168;3891004;38948
dot;hybrid;3;262144;;0.430;0.559;0.446025;41587515;26779623;8072067;47608;3827365;39087
dot;omp;4;262144;;0.427;0.507;0.449725;45278928;31909099;9031838;50934;4569826;41980
dot;hybrid;4;262144;;0.377;0.414;0.3897;44901754;30900699;8779385;50987;4510315;42019
dot;seq;1;1048576;;5.736;5.955;5.8177;141101443;83102697;27835049;136545;11617267;65115
dot;neon;1;1048576;;4.188;4.459;4.2857;139119411;78658936;26784520;135783;10836695;65015
dot;omp;1;1048576;;5.792;5.895;5.84243;134436144;75814622;26558672;121414;9885991;57610
dot;hybrid;1;1048576;;4.251;4.537;4.32915;132236577;71568969;25493652;120474;9621000;57261
dot;omp;2;1048576;;3.044;3.167;3.09945;138283120;80043726;27276801;128496;10590037;61230
dot;hybrid;2;1048576;;2.334;2.457;2.375;136334823;75872422;26233640;128932;10331456;61586
dot;omp;3;1048576;;2.113;2.216;2.16875;142055496;84296646;28015309;133314;11283912;65265
dot;hybrid;3;1048576;;1.694;1.788;1.73287;140308648;80342047;27010270;132134;11059175;65616
dot;omp;4;1048576;;1.676;1.803;1.7136;146256106;89105052;28844419;137529;12080173;69034
dot;hybrid;4;1048576;;1.429;1.512;1.4654;145033105;84987474;27813473;138392;11828807;69407
dot;seq;1;4194304;;23.073;23.455;23.2126;538724241;310090341;106868937;477078;42901902;174402
dot;neon;1;4194304;;16.816;17.274;17.0307;530547635;292604118;102728671;474660;39814286;174075
dot;omp;1;4194304;;22.766;23.398;23.0555;527187899;300715873;105230289;434537;39216512;166931
dot;hybrid;1;4194304;;16.299;16.921;16.7102;518866900;283928923;101032212;431077;38166894;166304
dot;omp;2;4194304;;12.035;12.305;12.1443;533659011;305481946;106036456;461762;40020483;172187
dot;hybrid;2;4194304;;9.120;9.347;9.207;525188298;288721911;101842807;457369;38972470;172420
dot;omp;3;4194304;;8.299;8.707;8.45542;539209883;310494302;106894509;462733;40829800;177368
dot;hybrid;3;4194304;;6.457;6.892;6.68732;532732868;294181340;102776179;464852;39859998;177260
dot;omp;4;4194304;;6.511;6.878;6.59302;546801405;316586456;107945202;473554;41849504;182107
dot;hybrid;4;4194304;;5.456;5.592;5.51085;541016057;299378400;103679802;472248;40731877;182782
dot;seq;1;16777216;;91.619;94.558;92.7623;2117690943;1211500962;421963965;1718638;166873931;611561
dot;neon;1;16777216;;65.042;70.282;67.9931;2084775188;1140246863;405184672;1702947;154311331;610944
dot;omp;1;16777216;;91.238;91.812;91.6268;2093429087;1200810002;420066160;1458977;156586200;621855
dot;hybrid;1;16777216;;65.070;65.928;65.697;2059539867;1133675603;403272848;1485609;152359677;621499
dot;omp;2;16777216;;47.106;49.881;47.6599;2106512728;1206378264;420958731;1590698;157534286;626401
dot;hybrid;2;16777216;;34.994;38.748;35.9378;2074468114;1139243831;404166650;1596520;153325143;625779
dot;omp;3;16777216;;33.061;34.696;33.9148;2121461551;1213494031;422167103;1688732;158639290;635445
dot;hybrid;3;16777216;;26.067;27.432;26.8643;2092670641;1146498890;405410030;1665981;154472469;635232
dot;omp;4;16777216;;25.533;26.581;26.3131;2139501998;1220742448;423433437;1746273;159885053;641327
dot;hybrid;4;16777216;;21.257;22.304;21.9778;2115043893;1154818372;406848314;1699090;155886389;640880
triad;seq;1;1024;;0.010;0.011;0.010225;4409548;3117494;784921;17920;448587;26909
triad;neon;1;1024;;0.004;0.005;0.004025;3992972;2522316;683135;17829;349831;26727
triad;omp;1;1024;;0.014;0.037;0.0146;2539010;1106123;409997;13254;120244;21276
triad;hybrid;1;1024;;0.007;0.008;0.0074;2528231;1099651;407611;13286;119158;21223
triad;omp;2;1024;;0.008;0.009;0.008175;3094150;1495516;489400;15558;182138;23553
triad;hybrid;2;1024;;0.005;0.006;0.0051;3118619;1509157;493011;15638;183839;23683
triad;omp;3;1024;;0.007;0.127;0.0101;3666011;2088237;607830;17289;277560;26013
triad;hybrid;3;1024;;0.005;0.005;0.005;3723489;2137702;616986;17534;285237;26231
triad;omp;4;1024;;0.006;0.007;0.006075;4353773;2849657;749134;18982;401484;28297
triad;hybrid;4;1024;;0.004;0.005;0.004675;4272804;2776465;734362;18781;389674;28205
triad;seq;1;4096;;0.049;0.081;0.051475;4558334;3009656;774002;18798;423533;27295
triad;neon;1;4096;;0.022;0.026;0.023675;4347348;2763310;727447;18513;383213;27112
triad;omp;1;4096;;0.052;0.262;0.05885;2830447;1232969;440607;14033;133977;21507
triad;hybrid;1;4096;;0.026;0.029;0.02675;2770741;1206381;430974;13912;129906;21581
triad;omp;2;4096;;0.027;0.053;0.029675;3434756;1656602;526436;16506;201354;24018
triad;hybrid;2;4096;;0.014;0.038;0.016075;3387944;1618683;515739;16300;195091;24084
triad;omp;3;4096;;0.020;0.035;0.02345;4041080;2294462;650439;18191;304143;26432
triad;hybrid;3;4096;;0.012;0.037;0.016175;4011355;2282060;644415;18146;302332;26467
triad;omp;4;4096;;0.016;0.053;0.01805;4690609;2997998;783249;19891;418718;29044
triad;hybrid;4;4096;;0.010;0.022;0.011325;4682966;3002805;779937;19941;419601;29093
triad;seq;1;16384;;0.209;0.216;0.21135;6405950;4557444;1065643;21504;652366;28354
triad;neon;1;16384;;0.098;0.105;0.10175;5790088;3782994;920883;20619;524579;28252
triad;omp;1;16384;;0.212;0.222;0.2155;3924887;1709713;551569;16358;184228;22247
triad;hybrid;1;16384;;0.104;0.140;0.107575;3806044;1637350;524799;15709;172674;22347
triad;omp;2;16384;;0.106;0.421;0.121725;4600793;2201058;650839;18786;262719;25027
triad;hybrid;2;16384;;0.053;0.070;0.058125;4488627;2156669;628832;18369;255535;25027
triad;omp;3;16384;;0.074;0.107;0.079975;5138494;2779762;762675;20198;356203;27225
triad;hybrid;3;16384;;0.038;0.074;0.04495;5073088;2717568;740120;20437;345672;27637
triad;omp;4;16384;;0.057;0.162;0.071;5915270;3554246;910941;22597;481405;30344
triad;hybrid;4;16384;;0.032;0.058;0.042725;5910752;3697350;918317;22185;506310;30206
triad;seq;1;65536;;0.922;1.098;0.944625;13608388;10218250;2155473;31942;1475139;33015
triad;neon;1;65536;;0.466;0.702;0.483575;12704446;9473472;1968535;28503;1357575;32615
triad;omp;1;65536;;0.949;1.128;0.98255;8565739;3705991;1027171;26141;397049;26261
triad;hybrid;1;65536;;0.494;0.688;0.521475;7993776;3402821;915222;22692;348819;26382
triad;omp;2;65536;;0.469;0.569;0.489825;9893244;5016289;1268662;28443;609124;29798
triad;hybrid;2;65536;;0.264;0.386;0.286825;9374876;4745923;1160682;26389;566724;29798
triad;omp;3;65536;;0.319;0.491;0.3406;11051497;6422930;1520497;29608;839356;32675
triad;hybrid;3;65536;;0.194;0.340;0.21915;10579181;6175364;1416935;28530;800877;32583
triad;omp;4;65536;;0.244;0.487;0.266425;12210763;7787585;1765325;31386;1063958;35120
triad;hybrid;4;65536;;0.160;0.366;0.187625;11841692;7585281;1668929;30948;1033228;35176
triad;seq;1;262144;;4.040;4.319;4.10745;32115140;18268673;4035341;70292;2344600;42978
triad;neon;1;262144;;2.215;2.509;2.29827;29773420;16952080;3575940;57915;2146970;42990
triad;omp;1;262144;;3.980;4.361;4.14845;26583964;11480105;2851339;62201;1223328;36025
triad;hybrid;1;262144;;2.261;2.418;2.31465;24203770;10230650;2390911;49345;1025975;35767
triad;omp;2;262144;;2.000;2.335;2.07422;29044612;14247709;3344448;61703;1671671;40105
triad;hybrid;2;262144;;1.279;1.446;1.3357;27072986;12941475;2875176;56557;1465072;40047
triad;omp;3;262144;;1.364;1.572;1.44758;31376446;17060192;3836799;61658;2131957;43395
triad;hybrid;3;262144;;0.972;1.256;1.05142;29819798;15803288;3378855;59311;1933171;43222
triad;omp;4;262144;;1.073;1.454;1.14725;34066900;20224867;4386085;63539;2655934;46326
triad;hybrid;4;262144;;0.855;1.097;0.9104;32703661;18683611;3877488;62342;2409926;46374
triad;seq;1;1048576;;16.251;16.844;16.528;104625177;50181557;11539881;230261;5751407;80987
triad;neon;1;1048576;;9.061;9.525;9.17995;95151780;45104357;9736988;184020;4988822;81109
triad;omp;1;1048576;;16.417;17.042;16.7784;98616765;43101492;10327191;228975;4554087;75967
triad;hybrid;1;1048576;;9.040;9.258;9.13057;88483743;38140848;8497229;171619;3766333;75716
triad;omp;2;1048576;;8.018;8.279;8.12535;101269476;46974732;10999559;200286;5189115;80712
triad;hybrid;2;1048576;;5.088;5.333;5.16745;93136053;41695974;9099073;179448;4363929;79706
triad;omp;3;1048576;;5.474;5.818;5.61055;104759044;50736451;11627809;194092;5820750;82973
triad;hybrid;3;1048576;;3.872;5.217;4.00563;98352465;45977529;9829568;184456;5071628;83778
triad;omp;4;1048576;;4.293;4.593;4.41897;109262696;55308781;12418531;192592;6579467;86279
triad;hybrid;4;1048576;;3.277;3.602;3.41073;104058695;50223103;10561419;188640;5779074;86432
triad;seq;1;4194304;;65.082;66.576;65.8487;394384010;179206078;41886388;842758;19523902;240939
triad;neon;1;4194304;;36.053;36.703;36.362;354952783;157916478;34483782;651770;16328877;240910
triad;omp;1;4194304;;64.842;66.899;65.3114;381940440;169529694;40192309;786081;17864634;239585
triad;hybrid;1;4194304;;35.631;36.560;35.8704;342770886;149546521;32830076;590214;14712964;238116
triad;omp;2;4194304;;32.205;33.209;32.5299;385841108;174389381;41002653;728462;18684227;244128
triad;hybrid;2;4194304;;20.183;20.674;20.3838;353874667;154453582;33653792;641666;15543486;242881
triad;omp;3;4194304;;21.576;22.831;22.0437;392763025;180286638;42006690;685497;19645758;249459
triad;hybrid;3;4194304;;15.254;15.750;15.4349;365941003;159465123;34517770;662733;16344916;249348
triad;omp;4;4194304;;16.914;17.437;17.0533;401421805;185927200;42987442;674758;20593798;254046
triad;hybrid;4;4194304;;12.945;13.315;13.0799;380161807;165720568;35594441;654494;17402646;253220
triad;seq;1;16777216;;260.254;266.399;262.293;1537619320;687349706;162044341;3156261;73172007;890665
triad;neon;1;16777216;;141.676;145.790;143.226;1379076166;602978594;132573244;2344861;60511238;889413
triad;omp;1;16777216;;248.487;250.028;249.235;1497559244;676795142;160140986;2480142;71220363;916000
triad;hybrid;1;16777216;;142.236;143.798;142.926;1355879233;597003008;130730024;2106635;58593763;913724
triad;omp;2;16777216;;124.070;129.513;125.775;1507386942;682657143;161053446;2439037;72218573;921751
triad;hybrid;2;16777216;;77.966;81.988;79.205;1383567144;602507601;131601937;2227913;59575329;921206
triad;omp;3;16777216;;85.569;90.088;87.9223;1528018599;689709373;162250092;2531975;73296372;931773
triad;hybrid;3;16777216;;59.592;60.975;60.3998;1421058372;609753466;132831840;2373298;60673251;931019
triad;omp;4;16777216;;66.749;68.973;67.7898;1552259266;698440601;163786255;2478985;74807781;940299
triad;hybrid;4;16777216;;50.613;52.019;51.2923;1465723033;617625102;134226664;2394784;62042445;939657
matmul;seq;1;16;;0.028;0.031;0.029075;4132881;2768772;730528;17806;392253;27119
matmul;neon;1;16;;0.022;0.167;0.026525;4074053;2695550;715636;17708;379878;26739
matmul;omp;1;16;;0.036;0.038;0.036975;2509391;1115609;416291;13233;122786;21588
matmul;hybrid;1;16;;0.028;0.051;0.029525;2482787;1096844;412073;13204;119834;21397
matmul;omp;2;16;;0.020;0.021;0.020375;3112264;1534497;503496;15781;189026;24141
matmul;hybrid;2;16;;0.015;0.083;0.0191;3083791;1507964;496274;15563;184798;23732
matmul;omp;3;16;;0.021;0.024;0.0215;3676353;2129460;619267;17456;284925;26321
matmul;hybrid;3;16;;0.018;0.020;0.0188;3659551;2151143;620588;17170;289056;25878
matmul;omp;4;16;;0.020;0.022;0.020875;4352536;2885264;761584;19147;407917;28660
matmul;hybrid;4;16;;0.018;0.021;0.019225;4300534;2756437;740720;19300;386000;28802
matmul;seq;1;32;;0.149;0.152;0.15035;4945163;3829051;946045;17985;566430;28102
matmul;neon;1;32;;0.095;0.121;0.0972;4663373;3373582;860473;18060;488488;26981
matmul;omp;1;32;;0.166;0.170;0.16715;2795272;1368147;497672;13556;160180;22656
matmul;hybrid;1;32;;0.106;0.172;0.110775;2714166;1222972;463289;13579;135434;21497
matmul;omp;2;32;;0.088;0.237;0.092825;3443169;1858169;595713;15915;238427;25184
matmul;hybrid;2;32;;0.058;0.060;0.0589;3357121;1761418;567527;15740;222093;23800
matmul;omp;3;32;;0.065;0.134;0.06765;4087437;2555092;729817;17972;351372;27570
matmul;hybrid;3;32;;0.046;0.065;0.04775;3961563;2324056;682170;18158;311972;26584
matmul;omp;4;32;;0.053;0.093;0.0554;4874241;3472201;896866;19721;501491;29868
matmul;hybrid;4;32;;0.038;0.213;0.0456;4737788;3257227;851212;19603;465016;28766
matmul;seq;1;64;;1.092;1.327;1.1181;9173669;9251856;2127763;20822;1459156;32954
matmul;neon;1;64;;0.672;1.012;0.691625;8622003;8153928;1865593;20740;1262938;32999
matmul;omp;1;64;;1.132;1.294;1.14965;4462086;3038638;1042156;15729;421187;26641
matmul;hybrid;1;64;;0.687;0.776;0.6978;3892275;1925066;783441;15814;227016;26769
matmul;omp;2;64;;0.577;0.675;0.5905;5323282;3799684;1187686;18252;544278;29462
matmul;hybrid;2;64;;0.352;0.379;0.359525;4722576;2689683;927174;18079;351023;29329
matmul;omp;3;64;;0.393;0.633;0.411625;6075384;4704743;1354123;19944;692452;31614
matmul;hybrid;3;64;;0.250;0.460;0.267375;5564809;3610510;1102091;20427;500880;32170
matmul;omp;4;64;;0.308;0.418;0.3229;7103818;5846125;1566462;22412;878468;34755
matmul;hybrid;4;64;;0.199;0.340;0.213425;6426298;4633301;1287360;22413;668677;34751
matmul;seq;1;128;;8.448;8.597;8.5014;21273855;22381413;6332594;49509;3605347;49191
matmul;neon;1;128;;5.010;5.241;5.06163;16001719;12519761;4064578;49164;1866250;49035
matmul;omp;1;128;;8.563;8.751;8.63477;15966581;15272557;5072513;44041;2388892;43015
matmul;hybrid;1;128;;5.055;5.206;5.11523;11274588;6320542;2975202;44040;820486;42860
matmul;omp;2;128;;4.344;4.473;4.3843;17573001;17016445;5388407;45396;2674118;46214
matmul;hybrid;2;128;;2.573;2.787;2.6123;12874661;8072453;3293160;44902;1107118;45829
matmul;omp;3;128;;2.900;3.043;2.9518;19008045;18854525;5705873;47640;2978704;48287
matmul;hybrid;3;128;;1.764;1.920;1.80503;14469140;9941375;3628059;48654;1414461;48747
matmul;omp;4;128;;2.254;2.414;2.3083;20951007;21030534;6108875;50711;3334305;52261
matmul;hybrid;4;128;;1.369;1.605;1.41597;16268008;12029077;4003625;51266;1757633;52467
matmul;seq;1;256;;65.882;66.228;66.0156;103301261;113741544;36993943;151659;18657822;114609
matmul;neon;1;256;;37.982;38.371;38.1633;66210636;42738690;20212444;153590;6092638;114475
