kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;omp;2;262144;;0.731;0.862;0.764867;38754275;23570979;7597424;45670;3191465;34895
dot;hybrid;2;262144;;0.557;0.645;0.579767;38277277;22566676;7342850;45731;3132887;34830
dot;omp;3;262144;;0.534;0.688;0.558433;42200742;27896384;8347005;48268;3903935;39269
dot;hybrid;3;262144;;0.423;0.508;0.449233;41686546;26830018;8079649;48324;3835534;39145
dot;omp;4;262144;;0.432;0.494;0.4492;45317987;31979232;9042247;51180;4581988;41627
dot;hybrid;4;262144;;0.367;0.508;0.392467;45050643;30973879;8788160;51826;4523137;41855
dot;seq;1;524288;;2.882;3.040;2.92867;74616282;45152750;14648883;78750;6378799;47014
dot;neon;1;524288;;2.102;2.276;2.15993;73552313;43003336;14133304;77632;6001428;47123
dot;omp;2;524288;;1.542;1.640;1.5709;72474181;42607035;14203559;75815;5686378;43701
dot;hybrid;2;524288;;1.186;1.229;1.20367;71410904;40480298;13671323;75076;5552539;43875
dot;omp;3;524288;;1.082;1.169;1.1134;75887282;46688988;14902911;78885;6362177;47783
dot;hybrid;3;524288;;0.880;0.948;0.899767;74927810;44627112;14383170;77573;6238564;47573
dot;omp;4;524288;;0.869;1.015;0.8952;79600809;51156938;15668772;82496;7105287;51104
dot;hybrid;4;524288;;0.747;0.857;0.767567;78782204;49089019;15146922;80814;6978953;50446
dot;seq;1;1048576;;5.783;5.948;5.8312;141608088;83025357;27820258;137895;11607217;63857
dot;neon;1;1048576;;4.260;4.446;4.30337;139548502;78765133;26795798;137158;10857500;63782
dot;omp;2;1048576;;3.045;3.150;3.10227;138738455;80023247;27281616;131877;10581163;61045
dot;hybrid;2;1048576;;2.332;2.460;2.3848;136862877;75945757;26262893;132641;10332589;61020
dot;omp;3;1048576;;2.123;2.200;2.16437;142607668;84478154;28052454;137296;11311331;64883
dot;hybrid;3;1048576;;1.701;1.776;1.73563;140748183;80044713;26954479;135768;11014936;64481
dot;omp;4;1048576;;1.666;1.802;1.70763;146863950;89079410;28844460;140126;12075574;67981
dot;hybrid;4;1048576;;1.421;1.527;1.4622;145418395;84766551;27774614;141069;11792867;68132
dot;seq;1;2097152;;11.579;11.734;11.653;274679415;158770455;54167366;251617;22057269;97483
dot;neon;1;2097152;;8.500;8.669;8.56463;270403714;149787143;52050529;251571;20477101;96748
dot;omp;2;2097152;;6.075;6.349;6.13247;271646308;155330299;53562781;248254;20415797;95642
dot;hybrid;2;2097152;;4.624;4.956;4.6715;267420262;146633166;51415050;248435;19844383;94929
dot;omp;3;2097152;;4.227;4.332;4.26573;276077655;159777834;54314461;251853;21157056;100277
dot;hybrid;3;2097152;;3.328;3.461;3.38053;272455372;151491103;52237524;250944;20646861;100051
dot;omp;4;2097152;;3.285;3.503;3.33683;281381027;165099975;55238386;258645;22034705;103208
dot;hybrid;4;2097152;;2.742;2.894;2.81267;278187043;156447373;53089092;255667;21471728;103140
dot;seq;1;4194304;;23.141;23.452;23.283;540163809;309663956;106767718;488726;42856035;166045
dot;neon;1;4194304;;16.961;17.270;17.1194;532266501;292113798;102618064;487825;39755490;165730
dot;omp;2;4194304;;12.075;12.241;12.1615;534637806;305107147;105944744;476121;39973325;164866
dot;hybrid;2;4194304;;9.158;9.342;9.2498;527269106;288370726;101756839;472260;38931722;165125
dot;omp;3;4194304;;8.380;8.626;8.4559;540722546;310069661;106793887;475539;40784466;169460
dot;hybrid;3;4194304;;6.575;6.838;6.70273;533571752;293310358;102603171;477476;39734661;170356
dot;omp;4;4194304;;6.517;6.746;6.5783;548018903;315932464;107809520;480805;41763024;175476
dot;hybrid;4;4194304;;5.468;5.775;5.52147;542831502;299518861;103678420;485877;40774904;175762
dot;seq;1;8388608;;46.305;46.677;46.4297;1069208361;610395227;211848296;936019;84219726;309345
dot;neon;1;8388608;;33.917;34.352;34.1382;1053450864;574420368;203400436;938550;77877659;308456
dot;omp;2;8388608;;23.760;24.711;24.4472;1062295441;605171461;210880370;945842;79101055;313546
dot;hybrid;2;8388608;;17.755;19.076;18.7535;1047738110;571635358;202494438;948660;77007284;313618
dot;omp;3;8388608;;16.792;17.212;16.982;1071570147;612217378;212087709;912810;80239632;320507
dot;hybrid;3;8388608;;13.084;13.615;13.3664;1056914091;578827521;203719379;900994;78170550;320149
dot;omp;4;8388608;;12.985;13.321;13.0716;1081232076;617131317;212945067;937780;81075518;325116
dot;hybrid;4;8388608;;10.797;11.049;10.8877;1069982614;583434754;204531332;932725;78956841;325112
dot;seq;1;16777216;;91.030;93.863;92.8381;2124015370;1211129357;421848399;1779649;166858871;598549
dot;neon;1;16777216;;65.364;70.643;68.042;2090019239;1140034593;405094950;1780732;154314200;597609
dot;omp;2;16777216;;47.029;49.313;47.6226;2110644231;1205349243;420727196;1681684;157393941;614179
dot;hybrid;2;16777216;;34.919;37.152;35.4885;2078541897;1138573643;403999159;1635129;153257907;612305
dot;omp;3;16777216;;33.674;34.232;33.9575;2127343445;1213436739;422102069;1719824;158670204;621918
