kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;seq;1;1024;;0.002;0.003;0.002925;4207188;2816661;743293;17775;399142;26760
dot;neon;1;1024;;0.003;0.004;0.003975;4188971;2792919;738822;17753;395209;26762
dot;omp;1;1024;;0.006;0.008;0.00685;2559366;1130357;423839;13168;124938;21193
dot;hybrid;1;1024;;0.009;0.010;0.009475;2574010;1136104;425577;13322;125403;21261
dot;omp;2;1024;;0.004;0.005;0.004775;3227871;1647569;526962;15604;207244;23641
dot;hybrid;2;1024;;0.007;0.008;0.007475;3201738;1607736;519634;15702;200644;23687
dot;omp;3;1024;;0.004;0.038;0.00575;3776912;2183098;634523;17617;293215;26175
dot;hybrid;3;1024;;0.006;0.008;0.007275;3874048;2360376;663913;17286;322911;26062
dot;omp;4;1024;;0.004;0.006;0.004675;4492895;3057764;794184;18958;436608;28350
dot;hybrid;4;1024;;0.006;0.008;0.007075;4533542;3052445;796189;19358;434978;28689
dot;seq;1;4096;;0.008;0.009;0.008225;5080386;3732662;934476;18488;545788;27055
dot;neon;1;4096;;0.010;0.012;0.0111;5125098;3778642;942370;18492;553173;27135
dot;omp;1;4096;;0.012;0.013;0.012675;2939500;1335546;497470;13932;152670;21383
dot;hybrid;1;4096;;0.017;0.018;0.017425;2935822;1339291;498469;13934;153133;21530
dot;omp;2;4096;;0.008;0.028;0.00865;3759196;2067095;637007;16270;271004;24014
dot;hybrid;2;4096;;0.010;0.035;0.0119;3759548;2063459;635871;16277;269927;24042
dot;omp;3;4096;;0.007;0.008;0.007075;4484123;2915449;794873;17997;409484;26253
dot;hybrid;3;4096;;0.009;0.011;0.010125;4459492;2893200;789616;17859;405674;26237
dot;omp;4;4096;;0.006;0.007;0.006375;5386102;3973909;987415;19823;582690;28784
dot;hybrid;4;4096;;0.008;0.230;0.0151;5516059;4111122;1011992;20290;604906;29190
dot;seq;1;16384;;0.029;0.032;0.029925;8570801;7470545;1716060;20208;1143277;28040
dot;neon;1;16384;;0.038;0.042;0.0392;8649284;7555484;1729666;20271;1156889;28198
dot;omp;1;16384;;0.033;0.065;0.03525;4450061;2155916;791681;15149;264236;22041
dot;hybrid;1;16384;;0.045;0.048;0.045775;4450536;2165536;792624;15238;264704;22228
dot;omp;2;16384;;0.018;0.043;0.020275;5920149;3843993;1091686;17837;541606;24782
dot;hybrid;2;16384;;0.025;0.027;0.026125;5913529;3846813;1089353;17839;541007;24700
dot;omp;3;16384;;0.014;0.044;0.0161;7222992;5510473;1387188;19788;816537;27253
dot;hybrid;3;16384;;0.019;0.022;0.020425;7257915;5547853;1390432;19947;821337;27369
dot;omp;4;16384;;0.012;0.172;0.0188;8901797;7695294;1768061;21923;1177304;30254
dot;hybrid;4;16384;;0.016;0.172;0.025025;8869234;7642733;1758012;22060;1167035;30160
dot;seq;1;65536;;0.114;0.138;0.120125;15495461;11919667;3097876;26111;1782056;31681
dot;neon;1;65536;;0.151;0.196;0.157025;15522764;11907126;3093009;25990;1777287;31649
dot;omp;1;65536;;0.121;0.181;0.12955;10483918;5460422;1976822;20096;713231;24961
dot;hybrid;1;65536;;0.160;0.219;0.165975;10543133;5501416;1980369;20110;714452;25207
dot;omp;2;65536;;0.083;0.199;0.094575;12764565;8210498;2454698;23635;1166675;28217
dot;hybrid;2;65536;;0.099;0.112;0.10725;12804882;8236951;2454658;23801;1165466;28189
dot;omp;3;65536;;0.074;0.338;0.0864;15046364;11235373;2993343;25763;1666126;31519
dot;hybrid;3;65536;;0.076;0.148;0.086075;15138502;11300001;2987450;25992;1670972;31666
dot;omp;4;65536;;0.065;0.076;0.070425;17397502;14287542;3508389;28709;2171636;34425
dot;hybrid;4;65536;;0.072;0.098;0.076575;17283966;14153439;3481145;28435;2143636;34270
dot;seq;1;262144;;0.818;0.958;0.847775;40176071;25185115;7825775;47178;3590090;38899
dot;neon;1;262144;;0.941;1.097;0.9795;40271241;25267865;7827535;46602;3592891;38738
dot;omp;1;262144;;0.858;0.929;0.877575;34810543;18545130;6668565;39706;2493462;31596
dot;hybrid;1;262144;;0.978;1.536;1.02135;34983349;18680615;6669993;39614;2493977;31938
dot;omp;2;262144;;0.499;0.641;0.5239;38055698;22398806;7336994;44735;3126467;35153
dot;hybrid;2;262144;;0.552;0.719;0.5835;38160454;22536175;7339213;44501;3126751;35249
dot;omp;3;262144;;0.395;0.526;0.42415;41334437;26557149;8098181;46908;3811529;39056
dot;hybrid;3;262144;;0.427;0.514;0.450325;41519545;26766499;8069679;47424;3824372;39338
dot;omp;4;262144;;0.359;0.499;0.3761;44653411;30635777;8755458;50236;4487988;42117
dot;hybrid;4;262144;;0.375;0.511;0.39525;44700855;30746090;8753242;50163;4484056;42218
dot;seq;1;1048576;;3.665;3.863;3.7644;138127386;78499876;26807454;135038;10847795;65976
dot;neon;1;1048576;;4.171;4.339;4.25875;138508123;78714770;26803442;132664;10837792;66419
dot;omp;1;1048576;;3.590;3.972;3.79907;131094273;71064992;25499546;117066;9619723;58234
dot;hybrid;1;1048576;;4.205;4.472;4.32715;131941670;71571105;25493846;122634;9618886;57519
dot;omp;2;1048576;;2.087;2.254;2.15993;135265800;75327970;26240952;126199;10319522;62475
dot;hybrid;2;1048576;;2.292;2.436;2.3487;135803565;75957251;26261620;125758;10334907;62615
dot;omp;3;1048576;;1.631;1.783;1.6954;139655141;79843902;27193456;130148;11060466;66871
dot;hybrid;3;1048576;;1.700;1.777;1.73643;140111285;80290068;27006319;132335;11048293;66928
dot;omp;4;1048576;;1.401;1.504;1.43667;144532470;84469192;27815041;136693;11827495;70545
dot;hybrid;4;1048576;;1.438;1.521;1.47318;144650979;85005640;27816270;137174;11830844;70484
dot;seq;1;4194304;;14.809;15.234;15.0649;526551366;291278238;102703125;449475;39750448;178543
dot;neon;1;4194304;;16.743;17.234;17.0224;529234213;292517354;102733549;450041;39784691;177560
dot;omp;1;4194304;;14.337;14.973;14.7922;515055917;281959940;101072360;403745;38172656;172419
dot;hybrid;1;4194304;;16.104;16.764;16.5557;517033621;284074919;101078202;397432;38173626;172316
dot;omp;2;4194304;;8.301;8.709;8.4863;522271461;286630239;101858417;444339;38957550;176249
dot;hybrid;2;4194304;;9.110;9.389;9.2353;524077983;288719443;101859006;432817;38957449;176872
dot;omp;3;4194304;;6.344;6.657;6.50417;530225592;292371362;103540371;439090;39894665;182601
dot;hybrid;3;4194304;;6.435;6.966;6.72655;531371387;294331407;102819766;442351;39871558;181961
dot;omp;4;4194304;;5.312;5.533;5.41568;539339629;297500607;103731921;450429;40753596;187452
dot;hybrid;4;4194304;;5.387;5.676;5.50982;540102158;299651340;103740953;455987;40762137;187254
dot;seq;1;16777216;;58.128;63.047;60.4491;2072857708;1136183315;405234936;1687470;154306969;617975
dot;neon;1;16777216;;66.289;71.144;68.3635;2082936100;1140072665;405184355;1677163;154249223;618277
dot;omp;1;16777216;;59.496;60.766;60.104;2048846335;1125457392;403332150;1415112;152396595;629142
